,U:0,U:1,,,arc_length,p,velMag
,1.3821E-16,3,,,0,2.169,3
,0.0016751,3.0007,,,0.069004,2.1664,3.00070046755087
,0.0032962,3.0014,,,0.13801,2.1638,3.0014018099772
,0.0048633,3.0021,,,0.20701,2.1613,3.0021039391878
,0.0063767,3.0028,,,0.27602,2.1588,3.0028067707235
,0.0078363,3.0034,,,0.34502,2.1563,3.00341022299613
,0.0092424,3.0041,,,0.41402,2.1537,3.00411421752865
,0.010301,3.0058,,,0.48303,2.1481,3.00581765092312
,0.011274,3.0077,,,0.55203,2.142,3.00772112953911
,0.012203,3.0095,,,0.62104,2.136,3.00952474042148
,0.013087,3.0113,,,0.69004,2.13,3.01132843767813
,0.013927,3.0131,,,0.75904,2.124,3.01313218616924
,0.014722,3.0149,,,0.82804,2.1181,3.01493594414276
,0.015239,3.0174,,,0.89705,2.1101,3.01743848108309
,0.015634,3.0201,,,0.96605,2.1013,3.02014046560023
,0.016004,3.0229,,,1.0351,2.0926,3.02294236432255
,0.016348,3.0256,,,1.1041,2.0838,3.02564416564539
,0.016666,3.0283,,,1.1731,2.0752,3.02834585963294
,0.016958,3.0309,,,1.2421,2.0665,3.03094743995405
,0.017057,3.034,,,1.3111,2.0568,3.03404794643213
,0.01698,3.0374,,,1.3801,2.0461,3.03744746133987
,0.016889,3.0409,,,1.4491,2.0354,3.0409468999509
,0.016784,3.0443,,,1.5181,2.0247,3.04434626687833
,0.016666,3.0477,,,1.5871,2.0141,3.04774556771985
,0.016533,3.0511,,,1.6561,2.0034,3.05114479336675
,0.016327,3.0547,,,1.7251,1.9924,3.05474363260307
,0.015955,3.0585,,,1.7941,1.9805,3.05854161521876
,0.015579,3.0623,,,1.8631,1.9686,3.06233962767701
,0.0152,3.0661,,,1.9321,1.9566,3.0661376762957
,0.014818,3.0699,,,2.0011,1.9447,3.06993576205171
,0.014433,3.0736,,,2.0701,1.9328,3.07363388702835
,0.014044,3.0774,,,2.1391,1.9209,3.07743204538069
,0.013575,3.0814,,,2.2081,1.9086,3.08142990194893
,0.013105,3.0853,,,2.2771,1.8962,3.08532783201802
,0.012636,3.0892,,,2.3461,1.8838,3.08922584290887
,0.012168,3.0931,,,2.4151,1.8715,3.09312393386104
,0.011702,3.097,,,2.4841,1.8591,3.0970221078972
,0.011236,3.1009,,,2.5531,1.8467,3.10092035655481
,0.010785,3.1048,,,2.6221,1.8344,3.10481873162106
,0.010342,3.1087,,,2.6911,1.8221,3.10871720279668
,0.0099002,3.1125,,,2.7602,1.8098,3.11251574517464
